Report Year,"State, USA",Population,Violent Crimes,Homicides,Rapes,Assaults,Robberies,Months Reported,Crimes Per Person,Homocides Per Persion,Rapes Per Person,Assaults Per Person,Robberies Per Person,Column1,Column2
1975,"Albuquerque, NM",286238,2383,30,181,1353,819,12,833,10,63,473,286,,
1975,"Arlington, TX",112478,278,5,28,132,113,12,247,4,25,117,100,,
1975,"Atlanta, GA",490584,8033,185,443,3518,3887,12,1637,38,90,717,792,,
1975,"Aurora, CO",116656,611,7,44,389,171,12,524,6,38,333,147,,
1975,"Austin, TX",300400,1215,33,190,463,529,12,404,11,63,154,176,,
1975,"Baltimore County, MD",642154,1259,25,137,347,750,12,196,4,21,54,117,,
1975,"Baltimore, MD",864100,16086,259,463,6309,9055,12,1862,30,54,730,1048,,
1975,"Boston, MA",616120,11386,119,453,3036,7778,12,1848,19,74,493,1262,,
1975,"Buffalo, NY",422276,3350,63,192,755,2340,12,793,15,45,179,554,,
1975,"Charlotte, NC",262103,1937,68,71,976,822,12,739,26,27,372,314,,
1975,"Chicago, IL",3150000,37160,818,1657,12514,22171,12,1180,26,53,397,704,,
1975,"Cincinnati, OH",433367,3578,64,261,1508,1745,12,826,15,60,348,403,,
1975,"Cleveland, OH",659931,10403,288,491,2524,7100,12,1576,44,74,382,1076,,
1975,"Columbus, OH",572797,3980,62,416,1100,2402,12,695,11,73,192,419,,
1975,"Dallas, TX",864665,7655,237,547,3485,3386,12,885,27,63,403,392,,
1975,"Denver, CO",508140,4960,74,480,1838,2568,12,976,15,94,362,505,,
1975,"Detroit, MI",1432444,30387,633,1424,7013,21317,12,2121,44,99,490,1488,,
1975,"El Paso, TX",369000,1618,21,122,635,840,12,438,6,33,172,228,,
1975,"Fairfax County, VA",487905,805,21,104,247,433,12,165,4,21,51,89,,
1975,"Fort Worth, TX",381275,1939,69,169,494,1207,12,509,18,44,130,317,,
1975,"Fresno, CA",176500,1141,25,84,465,567,12,646,14,48,263,321,,
1975,"Honolulu, HI",705262,1596,58,169,319,1050,12,226,8,24,45,149,,
1975,"Houston, TX",1372342,8924,347,588,1567,6422,12,650,25,43,114,468,,
1975,"Indianapolis, IN",503411,4655,95,351,1117,3092,12,925,19,70,222,614,,
1975,"Jacksonville, FL",542792,4579,91,316,2445,1727,12,844,17,58,450,318,,
1975,"Kansas City, MO",489094,6072,114,302,2575,3081,12,1241,23,62,526,630,,
1975,"Las Vegas, NV",249186,2594,37,169,1043,1345,12,1041,15,68,419,540,,
1975,"Long Beach, CA",340758,3189,54,169,1007,1959,12,936,16,50,296,575,,
1975,"Los Angeles County, CA",1022888,9792,138,471,6128,3055,12,957,13,46,599,299,,
1975,"Los Angeles, CA",2729878,30405,554,1768,13493,14590,12,1114,20,65,494,534,,
1975,"Memphis, TN",646483,5429,120,521,1805,2983,12,840,19,81,279,461,,
1975,"Mesa, AZ",113176,267,2,22,145,98,12,236,2,19,128,87,,
1975,"Miami-Dade County, FL",619795,6702,94,174,4008,2426,11,1081,15,28,647,391,,
1975,"Miami, FL",350742,6213,98,178,3280,2657,12,1771,28,51,935,758,,
1975,"Milwaukee, WI",674369,3204,70,146,1020,1968,12,475,10,22,151,292,,
1975,"Minneapolis, MN",405378,3326,47,307,1134,1838,12,820,12,76,280,453,,
1975,"Montgomery County, MD",496092,967,19,84,286,578,12,195,4,17,58,117,,
1975,"Nashville, TN",449600,3158,93,110,952,2003,12,702,21,24,212,446,,
1975,"Nassau County, NY",1100426,993,18,33,256,686,12,90,2,3,23,62,,
1975,"New Orleans, LA",571934,5993,158,237,2002,3596,12,1048,28,41,350,629,,
1975,"New York City, NY",7422506,132182,1645,3866,43481,83190,12,1781,22,52,586,1121,,
1975,"Newark, NJ",372663,7136,122,297,2444,4273,12,1915,33,80,656,1147,,
1975,"Oakland, CA",337748,5900,111,316,2288,3185,12,1747,33,94,677,943,,
1975,"Oklahoma City, OK",384081,2666,61,249,1364,992,12,694,16,65,355,258,,
1975,"Omaha, NE",391389,2540,36,178,1115,1211,12,649,9,45,285,309,,
1975,"Orlando, FL",118457,1116,21,86,705,304,12,942,18,73,595,257,,
1975,"Philadelphia, PA",1883253,16332,435,716,4776,10405,12,867,23,38,254,552,,
1975,"Phoenix, AZ",668046,4649,75,311,2325,1938,12,696,11,47,348,290,,
1975,"Pittsburgh, PA",479083,4967,63,237,1923,2744,12,1037,13,49,401,573,,
1975,"Portland, OR",373126,4076,48,287,1898,1843,12,1092,13,77,509,494,,
1975,"Prince George's County, MD",569452,4147,46,261,1693,2147,12,728,8,46,297,377,,
1975,"Raleigh, NC",149940,721,17,20,463,221,12,481,11,13,309,147,,
